requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
21,newsletter,NN,O,NOUN.COMMUNICATION,be in,VB,IS-A,FALSE,profile,NN,O,NOUN.COMMUNICATION,0 
22,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,online help,NN,O,NOUN.PERSON,0 
22,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,sitemap options for customer support,NN,O,NOUN.ACT,0 
22,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,sitemap options,NNS,O,OTHER,0 
22,faq,NN,O,NOUN.COMMUNICATION,have,VBP,POSSESSION,FALSE,customer support,NN,O,NOUN.ACT,0 
22,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,help,NN,O,NOUN.PERSON,0 
22,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,FAQ 's customer support,NN,O,NOUN.ACT,0 
23,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,support type,NN,O,NOUN.PERSON,1 
23,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
24,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
24,user,NN,PERSON,NOUN.PERSON,enter customer information for,IN,OTHER,FALSE,support,NN,O,NOUN.ACT,0 
24,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,customer information,NN,O,NOUN.COMMUNICATION,1 
25,system,NN,O,NOUN.GROUP,display customer support contact number on,IN,OTHER,FALSE,screen,NN,O,NOUN.ARTIFACT,0 
25,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,customer support contact numbers,NNS,O,NOUN.COMMUNICATION,0 
26,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
26,user,NN,PERSON,NOUN.PERSON,enter contact number,NN,OTHER,FALSE,support personnel call,NN,O,NOUN.COMMUNICATION,0 
26,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,contact number,NN,O,NOUN.ATTRIBUTE,1 
27,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,help,NN,O,NOUN.PERSON,0 
27,system,NN,O,NOUN.GROUP,display help upon,IN,OTHER,FALSE,request,NN,O,NOUN.COMMUNICATION,0 
27,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,online help,NN,O,NOUN.PERSON,0 
28,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,FAQ,NN,O,NOUN.COMMUNICATION,0 
28,system,NN,O,NOUN.GROUP,display faq upon,IN,OTHER,FALSE,request,NN,O,NOUN.COMMUNICATION,0 
29,system,NN,O,NOUN.GROUP,maintain customer email information as,IN,OTHER,FALSE,required part of customer profile,NN,O,NOUN.COMMUNICATION,0 
29,system,NN,O,NOUN.GROUP,maintain,VBP,TV,FALSE,customer email information,NN,O,NOUN.COMMUNICATION,0 
29,system,NN,O,NOUN.GROUP,maintain customer email information as,IN,OTHER,FALSE,part of customer profile,NN,O,NOUN.COMMUNICATION,0 
29,system,NN,O,NOUN.GROUP,maintain customer email information as,IN,OTHER,FALSE,required part,NN,O,NOUN.RELATION,0 
29,system,NN,O,NOUN.GROUP,maintain customer email information as,IN,OTHER,FALSE,part,NN,O,NOUN.RELATION,0 
30,system,NN,O,NOUN.GROUP,send,VBP,TV,FALSE,order,NN,O,NOUN.COMMUNICATION,0 
31,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,invoice,NN,O,NOUN.COMMUNICATION,0 
31,system,NN,O,NOUN.GROUP,display invoice,NN,OTHER,FALSE,confirmed,VBD,O,OTHER,0 
31,system,NN,O,NOUN.GROUP,display invoice for,IN,OTHER,FALSE,order,NN,O,NOUN.COMMUNICATION,0 
31,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,detailed invoice,NN,O,NOUN.COMMUNICATION,0 
31,it,PRP,O,NOUN.COGNITION,be,VB,IS-A,FALSE,confirmed,VBN,O,OTHER,0 
31,system,NN,O,NOUN.GROUP,display invoice for,IN,OTHER,FALSE,current order,NN,O,NOUN.COMMUNICATION,0 
32,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
32,system,NN,O,NOUN.GROUP,optionally allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
32,user,NN,PERSON,NOUN.PERSON,print,VB,TV,FALSE,invoice,NN,O,NOUN.COMMUNICATION,1 
33,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,shopping cart,NN,O,NOUN.ARTIFACT,0 
33,system,NN,O,NOUN.GROUP,provide shopping cart during,IN,OTHER,FALSE,online purchase,NN,O,NOUN.ACT,0 
33,system,NN,O,NOUN.GROUP,provide shopping cart during,IN,OTHER,FALSE,purchase,NN,O,NOUN.ACT,0 
34,add/remove product,NN,O,NOUN.ARTIFACT,be in,VB,IS-A,FALSE,shopping cart,NN,O,NOUN.ARTIFACT,0 
34,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,add/remove products in shopping cart,VB,O,NOUN.ARTIFACT,0 
34,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
34,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,add/remove products in shopping cart,NN,O,NOUN.ARTIFACT,0 
34,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,add/remove products,NNS,O,OTHER,0 
34,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,add/remove products,NNS,O,OTHER,0 
34,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,products,NNS,O,OTHER,0 
34,system,NN,O,NOUN.GROUP,allow to,VBP,PERMISSION,FALSE,products in shopping cart,NN,O,NOUN.ARTIFACT,0 
34,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,products,NNS,O,OTHER,0 
34,system,NN,O,NOUN.GROUP,allow user to,TO,OTHER,FALSE,products in shopping cart,VB,O,NOUN.ARTIFACT,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,different shipping options provided,VBN,O,OTHER,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,shipping options provided,VBN,O,NOUN.ACT,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,different shipping options,NNS,O,OTHER,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,shipping options provided by shipping department,NN,O,NOUN.GROUP,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,different shipping options provided by shipping department,NN,O,NOUN.GROUP,0 
35,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,shipping options,NNS,O,NOUN.ACT,0 
36,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,shipping method,NN,O,NOUN.COGNITION,1 
36,system,NN,O,NOUN.GROUP,enable,VBP,TV,FALSE,user,NN,O,NOUN.PERSON,0 
36,user,NN,PERSON,NOUN.PERSON,select shipping method during,IN,OTHER,FALSE,payment process,NN,O,NOUN.ACT,0 
37,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,shipping charges,NNS,O,NOUN.ACT,0 
38,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,duration,NN,O,NOUN.TIME,0 
38,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,duration for shipping,NN,O,NOUN.ACT,0 
38,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,tentative duration for shipping,NN,O,NOUN.ACT,0 
38,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,tentative duration,NN,O,NOUN.TIME,0 
39,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
39,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,order information for tracking,NN,O,NOUN.ACT,1 
39,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,order information,NN,O,NOUN.COMMUNICATION,1 
40,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,current tracking information about order,NN,O,NOUN.COMMUNICATION,0 
40,system,NN,O,NOUN.GROUP,display,VBP,TV,FALSE,tracking information,NN,O,NOUN.COMMUNICATION,0 
40,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,tracking information about order,NN,O,NOUN.COMMUNICATION,0 
40,system,NN,O,NOUN.GROUP,display,VBP,TV,FALSE,current tracking information,NN,O,NOUN.COMMUNICATION,0 
41,system,NN,O,NOUN.GROUP,calculate tax for,IN,OTHER,FALSE,order,NN,O,NOUN.COMMUNICATION,0 
41,system,NN,O,NOUN.GROUP,calculate,VBP,TV,TRUE,tax,NN,O,NOUN.POSSESSION,0 
42,system,NN,O,NOUN.GROUP,display tax information for,IN,OTHER,FALSE,order,NN,O,NOUN.COMMUNICATION,0 
42,system,NN,O,NOUN.GROUP,display,VBP,TV,FALSE,tax information,NN,O,NOUN.COMMUNICATION,0 
43,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,payment methods,NNS,O,NOUN.POSSESSION,0 
43,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,available payment methods,NNS,O,OTHER,0 
43,system,NN,O,NOUN.GROUP,display,VBP,TV,FALSE,available payment methods for payment,NN,O,NOUN.POSSESSION,0 
43,system,NN,O,NOUN.GROUP,display,VBP,TV,FALSE,payment methods for payment,NN,O,NOUN.POSSESSION,0 
44,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
44,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,payment method for order,NN,O,NOUN.COMMUNICATION,1 
44,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,payment method,NN,O,NOUN.COGNITION,1 
45,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,orders,NNS,O,OTHER,0 
46,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
47,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
47,user,NN,PERSON,NOUN.PERSON,cancel,VBP,TV,TRUE,order,NN,O,NOUN.COMMUNICATION,1 
48,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
48,user,NN,PERSON,NOUN.PERSON,change,VB,TV,FALSE,shipping,NN,O,NOUN.ACT,1 
48,user,NN,PERSON,NOUN.PERSON,change,VB,TV,FALSE,payment method,NN,O,NOUN.COGNITION,1 
49,system,NN,O,NOUN.GROUP,notify user about,IN,OTHER,FALSE,changes made to order,NN,O,NOUN.COMMUNICATION,0 
50,it,PRP,O,NOUN.COGNITION,be,VB,IS-A,FALSE,when selected,VBN,O,OTHER,0 
50,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,reviews of product,NN,O,NOUN.ARTIFACT,0 
50,it,PRP,O,NOUN.COGNITION,be,VB,IS-A,FALSE,selected,VBN,O,OTHER,0 
50,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,ratings,NNS,O,OTHER,0 
51,system,NN,O,NOUN.GROUP,enable,VBP,TV,FALSE,user,NN,O,NOUN.PERSON,0 
51,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,ratings,NNS,O,OTHER,1 
51,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,their reviews,NNS,O,OTHER,1 
52,system,NN,O,NOUN.GROUP,display,VB,TV,FALSE,available financing options,NNS,O,OTHER,0 
53,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
53,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,financing option,NN,O,NOUN.POSSESSION,1 
